,geo_value,time_value,cases,deaths,doctor_visits,wili,wcli,doctor_visits_quantized,doctor_visits_randomized,doctor_visits_prior
294,25001,11/21/20,138,0,12.127737,0.2939417,0.2939417,12.1743228,48.6972912,6.0871614
295,25001,11/22/20,34,0,12.946498,0.2810579,0.2810579,18.2614842,48.6972912,18.2614842
296,25001,11/23/20,31,0,13.651919,0.3037296,0.3037296,18.2614842,24.3486456,48.6972912
297,25001,11/24/20,70,0,13.584555,0.364755,0.364755,18.2614842,18.2614842,48.6972912
298,25001,11/25/20,68,1,12.553765,0.3787426,0.3787426,18.2614842,24.3486456,48.6972912
299,25001,11/26/20,0,0,11.599068,0,0,12.1743228,18.2614842,18.2614842
300,25001,11/27/20,71,0,11.070804,0,0,12.1743228,42.6101298,18.2614842
301,25001,11/28/20,77,1,11.453932,0.1285926,0.1285926,12.1743228,30.435807,48.6972912
302,25001,11/29/20,43,0,11.799779,0.1237751,0.1237751,12.1743228,42.6101298,6.0871614
303,25001,11/30/20,27,0,12.812262,0.1105455,0.1105455,18.2614842,30.435807,12.1743228
304,25001,12/1/20,82,0,13.05343,0.1105896,0.1105896,18.2614842,42.6101298,12.1743228
